Date,Product ID,Price ($),Tax ($),Total Price Paid by Client ($),Quantity Ordered,Country
2023-01-03,P1016,365.37,36.54,401.91,69,Canada
2023-01-03,P1017,203.49,20.35,223.84,86,Germany
2023-01-03,P1018,242.69,24.27,266.96,56,Australia
2023-01-03,P1019,360.88,36.09,396.97,57,USA
2023-01-03,P1020,197.9,19.79,217.69,91,UK
2023-01-04,P1001,440.44,44.04,484.48,65,Germany
2023-01-04,P1002,55.26,5.53,60.79,79,Canada
2023-01-04,P1003,280.39,28.04,308.43,94,USA
2023-01-04,P1004,329.53,32.95,362.48,53,UK
2023-01-04,P1005,449.31,44.93,494.24,92,France
2023-01-04,P1006,223.57,22.36,245.93,72,Japan
2023-01-04,P1007,405.04,40.5,445.54,73,Germany
2023-01-04,P1008,59.11,5.91,65.02,90,France
2023-01-04,P1009,359.98,36.0,395.98,93,Australia
2023-01-04,P1010,83.23,8.32,91.55,97,USA
2023-01-04,P1011,89.62,8.96,98.58,69,Canada
2023-01-04,P1012,70.67,7.07,77.74,96,France
2023-01-04,P1013,211.58,21.16,232.74,53,Germany
2023-01-04,P1014,26.28,2.63,28.91,59,Canada
2023-01-04,P1015,192.91,19.29,212.2,96,UK
2023-01-04,P1016,34.79,3.48,38.27,53,Canada
2023-01-04,P1017,429.34,42.93,472.27,95,Australia
2023-01-04,P1018,367.7,36.77,404.47,94,UK
2023-01-04,P1019,265.31,26.53,291.84,83,Australia
2023-01-04,P1020,108.0,10.8,118.8,86,USA
2023-01-05,P1001,398.91,39.89,438.8,55,Japan
2023-01-05,P1002,179.22,17.92,197.14,66,Japan
2023-01-05,P1003,355.16,35.52,390.68,51,Canada
2023-01-05,P1004,90.7,9.07,99.77,77,USA
2023-01-05,P1005,352.56,35.26,387.82,98,Canada
2023-01-05,P1006,140.96,14.1,155.06,85,UK
2023-01-05,P1007,299.06,29.91,328.97,99,Canada
2023-01-05,P1008,162.85,16.29,179.14,79,France
2023-01-05,P1009,112.82,11.28,124.1,55,Australia
2023-01-05,P1010,472.74,47.27,520.01,52,Germany
2023-01-05,P1011,343.47,34.35,377.82,89,Germany
2023-01-05,P1012,37.64,3.76,41.4,67,Japan
2023-01-05,P1013,441.69,44.17,485.86,78,Germany
2023-01-05,P1014,312.65,31.27,343.92,91,Australia
2023-01-05,P1015,428.76,42.88,471.64,59,Canada
2023-01-05,P1016,244.51,24.45,268.96,77,Canada
2023-01-05,P1017,307.45,30.75,338.2,67,Canada
2023-01-05,P1018,240.05,24.01,264.06,72,USA
2023-01-05,P1019,139.03,13.9,152.93,80,USA
2023-01-05,P1020,381.61,38.16,419.77,53,Germany
2023-01-06,P1001,197.9,19.79,217.69,77,Australia
2023-01-06,P1002,417.21,41.72,458.93,73,USA
2023-01-06,P1003,437.6,43.76,481.36,57,Australia
2023-01-06,P1004,443.82,44.38,488.2,50,Germany
2023-01-06,P1005,115.6,11.56,127.16,75,USA
2023-01-06,P1006,368.12,36.81,404.93,72,France
2023-01-06,P1007,114.52,11.45,125.97,54,Japan
2023-01-06,P1008,22.57,2.26,24.83,69,USA
2023-01-06,P1009,367.92,36.79,404.71,55,USA
2023-01-06,P1010,115.29,11.53,126.82,65,Australia
2023-01-06,P1011,405.71,40.57,446.28,89,France
2023-01-06,P1012,340.68,34.07,374.75,60,France
2023-01-06,P1013,95.71,9.57,105.28,77,Germany
2023-01-06,P1014,236.94,23.69,260.63,68,Australia
2023-01-06,P1015,110.38,11.04,121.42,80,Australia
2023-01-06,P1016,71.17,7.12,78.29,68,Australia
2023-01-06,P1017,376.85,37.69,414.54,56,UK
2023-01-06,P1018,50.88,5.09,55.97,80,Germany
2023-01-06,P1019,296.39,29.64,326.03,85,UK
2023-01-06,P1020,150.59,15.06,165.65,59,France
2023-01-07,P1001,40.89,4.09,44.98,56,Japan
2023-01-07,P1002,14.53,1.45,15.98,63,USA
2023-01-07,P1003,492.32,49.23,541.55,72,USA
2023-01-07,P1004,41.34,4.13,45.47,58,Germany
2023-01-07,P1005,488.97,48.9,537.87,57,France
2023-01-07,P1006,175.7,17.57,193.27,66,USA
2023-01-07,P1007,440.65,44.06,484.71,73,USA
2023-01-07,P1008,360.62,36.06,396.68,94,Canada
2023-01-07,P1009,357.19,35.72,392.91,75,France
2023-01-07,P1010,425.98,42.6,468.58,73,Germany
2023-01-07,P1011,487.39,48.74,536.13,72,Japan
2023-01-07,P1012,379.25,37.93,417.18,99,Canada
2023-01-07,P1013,142.04,14.2,156.24,69,USA
2023-01-07,P1014,219.83,21.98,241.81,70,Australia
2023-01-07,P1015,206.55,20.66,227.21,92,Canada
2023-01-07,P1016,57.94,5.79,63.73,54,USA
2023-01-07,P1017,486.73,48.67,535.4,60,Australia
2023-01-07,P1018,454.21,45.42,499.63,77,Germany
2023-01-07,P1019,173.24,17.32,190.56,70,Japan
2023-01-07,P1020,209.55,20.96,230.51,77,Germany
2023-01-08,P1001,169.4,16.94,186.34,68,Canada
2023-01-08,P1002,16.83,1.68,18.51,83,Germany
2023-01-08,P1003,159.25,15.93,175.18,86,UK
2023-01-08,P1004,132.81,13.28,146.09,50,USA
2023-01-08,P1005,130.23,13.02,143.25,85,Australia
2023-01-08,P1006,283.11,28.31,311.42,84,Canada
2023-01-08,P1007,366.25,36.62,402.87,83,France
2023-01-08,P1008,74.43,7.44,81.87,82,USA
2023-01-08,P1009,157.78,15.78,173.56,59,Australia
2023-01-08,P1010,233.51,23.35,256.86,57,Australia
2023-01-08,P1011,350.86,35.09,385.95,70,Germany
2023-01-08,P1012,98.76,9.88,108.64,94,Germany
2023-01-08,P1013,37.86,3.79,41.65,57,Germany
2023-01-08,P1014,391.56,39.16,430.72,55,Germany
2023-01-08,P1015,137.12,13.71,150.83,59,Germany
2023-01-08,P1016,297.92,29.79,327.71,87,France
2023-01-08,P1017,191.72,19.17,210.89,96,USA
2023-01-08,P1018,235.33,23.53,258.86,88,Canada
2023-01-08,P1019,401.9,40.19,442.09,84,Germany
2023-01-08,P1020,264.23,26.42,290.65,69,UK
2023-01-09,P1001,293.0,29.3,322.3,56,Canada
2023-01-09,P1002,242.89,24.29,267.18,95,Canada
2023-01-09,P1003,88.33,8.83,97.16,79,Germany
2023-01-09,P1004,328.24,32.82,361.06,52,France
2023-01-09,P1005,169.59,16.96,186.55,65,France
2023-01-09,P1006,101.69,10.17,111.86,54,Canada
2023-01-09,P1007,276.46,27.65,304.11,80,Australia
2023-01-09,P1008,442.2,44.22,486.42,85,Canada
2023-01-09,P1009,364.84,36.48,401.32,76,Japan
2023-01-09,P1010,452.98,45.3,498.28,65,UK
2023-01-09,P1011,352.81,35.28,388.09,88,Japan
2023-01-09,P1012,380.82,38.08,418.9,97,UK
2023-01-09,P1013,385.81,38.58,424.39,60,Germany
2023-01-09,P1014,161.06,16.11,177.17,80,Japan
2023-01-09,P1015,256.68,25.67,282.35,80,Canada
2023-01-09,P1016,234.04,23.4,257.44,93,UK
2023-01-09,P1017,292.12,29.21,321.33,51,Canada
2023-01-09,P1018,455.33,45.53,500.86,78,Japan
2023-01-09,P1019,88.11,8.81,96.92,86,Australia
2023-01-09,P1020,40.73,4.07,44.8,96,Australia
2023-01-10,P1001,136.76,13.68,150.44,62,USA
2023-01-10,P1002,26.32,2.63,28.95,52,USA
2023-01-10,P1003,184.13,18.41,202.54,60,USA
2023-01-10,P1004,18.0,1.8,19.8,51,USA
2023-01-10,P1005,465.35,46.54,511.89,84,Germany
2023-01-10,P1006,58.25,5.83,64.08,87,Germany
2023-01-10,P1007,37.42,3.74,41.16,56,France
2023-01-10,P1008,126.21,12.62,138.83,56,UK
2023-01-10,P1009,17.65,1.76,19.41,88,Australia
2023-01-10,P1010,43.36,4.34,47.7,95,Canada
2023-01-10,P1011,118.37,11.84,130.21,63,Australia
2023-01-10,P1012,74.22,7.42,81.64,67,Germany
2023-01-10,P1013,66.59,6.66,73.25,58,Japan
2023-01-10,P1014,193.42,19.34,212.76,95,Australia
2023-01-10,P1015,161.93,16.19,178.12,75,Japan
2023-01-10,P1016,405.44,40.54,445.98,51,Australia
2023-01-10,P1017,42.0,4.2,46.2,76,UK
2023-01-10,P1018,151.32,15.13,166.45,64,Japan
2023-01-10,P1019,334.63,33.46,368.09,95,Australia
2023-01-10,P1020,336.27,33.63,369.9,92,Germany
2023-01-11,P1001,217.8,21.78,239.58,77,Canada
2023-01-11,P1002,413.05,41.31,454.36,64,UK
2023-01-11,P1003,229.1,22.91,252.01,54,Canada
2023-01-11,P1004,187.95,18.79,206.74,80,USA
2023-01-11,P1005,371.95,37.2,409.15,90,France
2023-01-11,P1006,469.27,46.93,516.2,74,Canada
2023-01-11,P1007,484.8,48.48,533.28,64,Canada
2023-01-11,P1008,155.31,15.53,170.84,93,Japan
2023-01-11,P1009,132.22,13.22,145.44,83,Canada
2023-01-11,P1010,446.85,44.69,491.54,96,Japan
2023-01-11,P1011,38.59,3.86,42.45,73,France
2023-01-11,P1012,319.25,31.93,351.18,93,France
2023-01-11,P1013,193.41,19.34,212.75,50,France
2023-01-11,P1014,126.53,12.65,139.18,68,France
2023-01-11,P1015,230.15,23.02,253.17,98,France
2023-01-11,P1016,421.2,42.12,463.32,95,USA
2023-01-11,P1017,256.17,25.62,281.79,99,UK
2023-01-11,P1018,434.97,43.5,478.47,79,Germany
2023-01-11,P1019,377.87,37.79,415.66,92,Canada
2023-01-11,P1020,484.3,48.43,532.73,66,UK
2023-01-12,P1001,231.39,23.14,254.53,76,France
2023-01-12,P1002,339.23,33.92,373.15,88,Canada
2023-01-12,P1003,351.08,35.11,386.19,94,Canada
2023-01-12,P1004,59.02,5.9,64.92,86,UK
2023-01-12,P1005,484.22,48.42,532.64,60,France
2023-01-12,P1006,144.66,14.47,159.13,87,USA
2023-01-12,P1007,115.61,11.56,127.17,76,Germany
2023-01-12,P1008,488.12,48.81,536.93,74,UK
2023-01-12,P1009,485.34,48.53,533.87,78,USA
2023-01-12,P1010,445.14,44.51,489.65,74,UK
2023-01-12,P1011,192.79,19.28,212.07,74,UK
2023-01-12,P1012,377.79,37.78,415.57,69,Australia
2023-01-12,P1013,462.84,46.28,509.12,60,Germany
2023-01-12,P1014,33.86,3.39,37.25,85,Canada
2023-01-12,P1015,228.61,22.86,251.47,84,UK
2023-01-12,P1016,180.75,18.07,198.82,70,Germany
2023-01-12,P1017,343.45,34.34,377.79,86,Australia
2023-01-12,P1018,358.16,35.82,393.98,83,France
2023-01-12,P1019,177.43,17.74,195.17,83,France
2023-01-12,P1020,143.61,14.36,157.97,51,UK
2023-01-13,P1001,429.59,42.96,472.55,56,Japan
2023-01-13,P1002,156.83,15.68,172.51,71,Japan
2023-01-13,P1003,269.96,27.0,296.96,52,France
2023-01-13,P1004,256.33,25.63,281.96,58,Australia
2023-01-13,P1005,177.88,17.79,195.67,93,Canada
2023-01-13,P1006,146.74,14.67,161.41,62,France
2023-01-13,P1007,292.8,29.28,322.08,68,Canada
2023-01-13,P1008,339.26,33.93,373.19,78,France
2023-01-13,P1009,11.32,1.13,12.45,56,France
2023-01-13,P1010,304.19,30.42,334.61,76,Japan
2023-01-13,P1011,481.76,48.18,529.94,87,Australia
2023-01-13,P1012,225.93,22.59,248.52,81,USA
2023-01-13,P1013,327.81,32.78,360.59,82,Japan
2023-01-13,P1014,460.57,46.06,506.63,79,USA
2023-01-13,P1015,495.66,49.57,545.23,89,Japan
2023-01-13,P1016,405.27,40.53,445.8,86,Germany
2023-01-13,P1017,415.14,41.51,456.65,55,France
2023-01-13,P1018,444.76,44.48,489.24,99,Germany
2023-01-13,P1019,170.87,17.09,187.96,57,France
2023-01-13,P1020,276.88,27.69,304.57,50,UK
2023-01-14,P1001,275.64,27.56,303.2,53,USA
2023-01-14,P1002,416.65,41.66,458.31,70,France
2023-01-14,P1003,460.69,46.07,506.76,98,Canada
2023-01-14,P1004,130.8,13.08,143.88,59,France
2023-01-14,P1005,454.11,45.41,499.52,88,Japan
2023-01-14,P1006,302.99,30.3,333.29,66,France
2023-01-14,P1007,294.63,29.46,324.09,73,Germany
2023-01-14,P1008,174.46,17.45,191.91,72,UK
2023-01-14,P1009,351.27,35.13,386.4,66,Germany
2023-01-14,P1010,29.41,2.94,32.35,61,Japan
2023-01-14,P1011,454.79,45.48,500.27,76,UK
2023-01-14,P1012,450.05,45.01,495.06,85,Australia
2023-01-14,P1013,266.27,26.63,292.9,87,France
2023-01-14,P1014,11.52,1.15,12.67,87,Germany
2023-01-14,P1015,328.05,32.8,360.85,82,Canada
2023-01-14,P1016,485.41,48.54,533.95,86,Canada
2023-01-14,P1017,153.64,15.36,169.0,55,USA
2023-01-14,P1018,463.59,46.36,509.95,90,Japan
2023-01-14,P1019,207.58,20.76,228.34,69,France
2023-01-14,P1020,446.42,44.64,491.06,60,Germany
2023-01-15,P1001,464.83,46.48,511.31,87,UK
2023-01-15,P1002,485.54,48.55,534.09,90,France
2023-01-15,P1003,57.43,5.74,63.17,90,Germany
2023-01-15,P1004,299.6,29.96,329.56,79,Canada
2023-01-15,P1005,204.66,20.47,225.13,87,Japan
2023-01-15,P1006,182.43,18.24,200.67,85,Australia
2023-01-15,P1007,339.3,33.93,373.23,73,USA
2023-01-15,P1008,286.39,28.64,315.03,87,UK
2023-01-15,P1009,143.39,14.34,157.73,56,USA
2023-01-15,P1010,384.98,38.5,423.48,87,Canada
2023-01-15,P1011,77.25,7.73,84.98,98,Germany
2023-01-15,P1012,436.83,43.68,480.51,69,Japan
2023-01-15,P1013,169.31,16.93,186.24,61,Canada
2023-01-15,P1014,468.87,46.89,515.76,76,USA
2023-01-15,P1015,35.73,3.57,39.3,82,France
2023-01-15,P1016,205.9,20.59,226.49,71,Japan
2023-01-15,P1017,82.43,8.24,90.67,60,Australia
2023-01-15,P1018,331.81,33.18,364.99,86,Canada
2023-01-15,P1019,57.66,5.77,63.43,86,Australia
2023-01-15,P1020,294.73,29.47,324.2,85,USA
2023-01-16,P1001,92.82,9.28,102.1,70,UK
2023-01-16,P1002,38.68,3.87,42.55,54,Canada
2023-01-16,P1003,66.76,6.68,73.44,52,Germany
2023-01-16,P1004,490.18,49.02,539.2,61,Australia
2023-01-16,P1005,429.99,43.0,472.99,76,Japan
2023-01-16,P1006,142.91,14.29,157.2,71,France
2023-01-16,P1007,205.91,20.59,226.5,67,Australia
2023-01-16,P1008,429.81,42.98,472.79,71,France
2023-01-16,P1009,205.59,20.56,226.15,84,Germany
2023-01-16,P1010,311.12,31.11,342.23,96,Germany
2023-01-16,P1011,412.98,41.3,454.28,83,Canada
2023-01-16,P1012,365.91,36.59,402.5,95,Japan
2023-01-16,P1013,64.13,6.41,70.54,95,Japan
2023-01-16,P1014,208.63,20.86,229.49,73,UK
2023-01-16,P1015,24.68,2.47,27.15,96,UK
2023-01-16,P1016,63.79,6.38,70.17,55,Canada
2023-01-16,P1017,354.58,35.46,390.04,64,Germany
2023-01-16,P1018,479.98,48.0,527.98,57,Germany
2023-01-16,P1019,446.74,44.67,491.41,79,Canada
2023-01-16,P1020,479.57,47.96,527.53,63,UK
2023-01-17,P1001,496.12,49.61,545.73,54,Australia
2023-01-17,P1002,422.96,42.3,465.26,79,Japan
2023-01-17,P1003,160.61,16.06,176.67,68,Canada
2023-01-17,P1004,144.54,14.45,158.99,87,Australia
2023-01-17,P1005,139.87,13.99,153.86,59,Germany
2023-01-17,P1006,42.15,4.21,46.36,89,Germany
2023-01-17,P1007,284.24,28.42,312.66,78,USA
2023-01-17,P1008,449.67,44.97,494.64,59,USA
2023-01-17,P1009,359.33,35.93,395.26,78,Australia
2023-01-17,P1010,157.83,15.78,173.61,65,Germany
2023-01-17,P1011,378.0,37.8,415.8,71,France
2023-01-17,P1012,24.19,2.42,26.61,64,Canada
2023-01-17,P1013,436.84,43.68,480.52,75,Germany
2023-01-17,P1014,493.8,49.38,543.18,84,Canada
2023-01-17,P1015,188.63,18.86,207.49,51,USA
2023-01-17,P1016,194.43,19.44,213.87,94,Japan
2023-01-17,P1017,137.84,13.78,151.62,63,UK
2023-01-17,P1018,344.05,34.41,378.46,82,France
2023-01-17,P1019,427.41,42.74,470.15,50,Australia
2023-01-17,P1020,124.21,12.42,136.63,69,Germany
2023-01-18,P1001,11.89,1.19,13.08,95,UK
2023-01-18,P1002,310.3,31.03,341.33,66,Japan
2023-01-18,P1003,442.13,44.21,486.34,53,USA
2023-01-18,P1004,483.53,48.35,531.88,82,Germany
2023-01-18,P1005,419.82,41.98,461.8,68,Canada
2023-01-18,P1006,213.65,21.37,235.02,65,France
2023-01-18,P1007,363.87,36.39,400.26,74,Canada
2023-01-18,P1008,218.71,21.87,240.58,62,Australia
2023-01-18,P1009,489.49,48.95,538.44,64,France
2023-01-18,P1010,325.4,32.54,357.94,94,Germany
2023-01-18,P1011,337.18,33.72,370.9,94,Australia
2023-01-18,P1012,473.06,47.31,520.37,63,Japan
2023-01-18,P1013,194.6,19.46,214.06,96,UK
2023-01-18,P1014,398.02,39.8,437.82,51,Canada
2023-01-18,P1015,130.0,13.0,143.0,66,Canada
2023-01-18,P1016,375.83,37.58,413.41,52,Canada
2023-01-18,P1017,232.02,23.2,255.22,50,Japan
2023-01-18,P1018,391.3,39.13,430.43,65,UK
2023-01-18,P1019,78.15,7.82,85.97,88,Japan
2023-01-18,P1020,423.0,42.3,465.3,82,UK
2023-01-19,P1001,487.96,48.8,536.76,85,Canada
2023-01-19,P1002,131.05,13.11,144.16,77,Germany
2023-01-19,P1003,209.39,20.94,230.33,60,France
2023-01-19,P1004,221.68,22.17,243.85,87,Japan
2023-01-19,P1005,468.3,46.83,515.13,88,Germany
2023-01-19,P1006,309.38,30.94,340.32,52,Australia
2023-01-19,P1007,466.44,46.64,513.08,59,USA
2023-01-19,P1008,29.6,2.96,32.56,90,Germany
2023-01-19,P1009,210.07,21.01,231.08,76,USA
2023-01-19,P1010,302.07,30.21,332.28,67,Germany
2023-01-19,P1011,233.23,23.32,256.55,79,Germany
2023-01-19,P1012,330.5,33.05,363.55,84,France
2023-01-19,P1013,337.43,33.74,371.17,86,Japan
2023-01-19,P1014,51.68,5.17,56.85,87,Germany
2023-01-19,P1015,309.55,30.96,340.51,72,USA
2023-01-19,P1016,342.25,34.23,376.48,78,UK
2023-01-19,P1017,218.45,21.84,240.29,67,France
2023-01-19,P1018,180.69,18.07,198.76,58,Germany
2023-01-19,P1019,305.09,30.51,335.6,57,France
2023-01-19,P1020,87.04,8.7,95.74,93,Germany
2023-01-20,P1001,366.35,36.64,402.99,50,France
2023-01-20,P1002,428.69,42.87,471.56,63,Australia
2023-01-20,P1003,22.62,2.26,24.88,89,UK
2023-01-20,P1004,49.23,4.92,54.15,62,Canada
2023-01-20,P1005,380.0,38.0,418.0,98,France
2023-01-20,P1006,233.78,23.38,257.16,66,UK
2023-01-20,P1007,337.62,33.76,371.38,96,Germany
2023-01-20,P1008,442.32,44.23,486.55,99,Canada
2023-01-20,P1009,210.77,21.08,231.85,83,USA
2023-01-20,P1010,262.66,26.27,288.93,56,France
2023-01-20,P1011,371.27,37.13,408.4,85,Japan
2023-01-20,P1012,350.14,35.01,385.15,69,Japan
2023-01-20,P1013,443.75,44.38,488.13,64,Australia
2023-01-20,P1014,259.96,26.0,285.96,67,Germany
2023-01-20,P1015,469.19,46.92,516.11,53,Canada
2023-01-20,P1016,148.59,14.86,163.45,77,France
2023-01-20,P1017,243.7,24.37,268.07,89,UK
2023-01-20,P1018,134.28,13.43,147.71,99,Australia
2023-01-20,P1019,322.55,32.26,354.81,74,UK
2023-01-20,P1020,185.96,18.6,204.56,86,UK
2023-01-21,P1001,297.81,29.78,327.59,51,Germany
2023-01-21,P1002,110.0,11.0,121.0,69,France
2023-01-21,P1003,140.54,14.05,154.59,80,Australia
2023-01-21,P1004,368.55,36.86,405.41,76,Germany
2023-01-21,P1005,152.06,15.21,167.27,50,Canada
2023-01-21,P1006,391.8,39.18,430.98,92,USA
2023-01-21,P1007,178.82,17.88,196.7,52,France
2023-01-21,P1008,440.51,44.05,484.56,69,Canada
2023-01-21,P1009,226.25,22.62,248.87,56,Canada
2023-01-21,P1010,253.49,25.35,278.84,79,Australia
2023-01-21,P1011,51.69,5.17,56.86,68,UK
2023-01-21,P1012,467.01,46.7,513.71,85,USA
2023-01-21,P1013,162.63,16.26,178.89,73,France
2023-01-21,P1014,351.66,35.17,386.83,52,France
2023-01-21,P1015,39.1,3.91,43.01,94,Japan
2023-01-21,P1016,460.09,46.01,506.1,87,UK
2023-01-21,P1017,173.89,17.39,191.28,77,France
2023-01-21,P1018,66.79,6.68,73.47,87,Germany
2023-01-21,P1019,37.87,3.79,41.66,74,USA
2023-01-21,P1020,57.26,5.73,62.99,60,Germany
2023-01-22,P1001,287.59,28.76,316.35,87,UK
2023-01-22,P1002,381.11,38.11,419.22,74,USA
2023-01-22,P1003,332.09,33.21,365.3,90,Japan
2023-01-22,P1004,35.07,3.51,38.58,86,UK
2023-01-22,P1005,311.07,31.11,342.18,76,USA
2023-01-22,P1006,129.58,12.96,142.54,82,Japan
2023-01-22,P1007,373.21,37.32,410.53,65,France
2023-01-22,P1008,325.77,32.58,358.35,84,Germany
2023-01-22,P1009,58.87,5.89,64.76,67,Germany
2023-01-22,P1010,133.22,13.32,146.54,73,Japan
2023-01-22,P1011,496.57,49.66,546.23,89,Canada
2023-01-22,P1012,261.32,26.13,287.45,78,France
2023-01-22,P1013,180.37,18.04,198.41,71,USA
2023-01-22,P1014,368.22,36.82,405.04,83,Japan
2023-01-22,P1015,256.84,25.68,282.52,85,Canada
2023-01-22,P1016,202.05,20.21,222.26,85,Canada
2023-01-22,P1017,116.65,11.67,128.32,75,France
2023-01-22,P1018,89.56,8.96,98.52,77,USA
2023-01-22,P1019,225.98,22.6,248.58,84,Australia
2023-01-22,P1020,335.83,33.58,369.41,98,UK
2023-01-23,P1001,306.0,30.6,336.6,53,USA
2023-01-23,P1002,67.84,6.78,74.62,50,France
2023-01-23,P1003,250.88,25.09,275.97,84,Germany
2023-01-23,P1004,76.06,7.61,83.67,74,UK
2023-01-23,P1005,250.69,25.07,275.76,57,France
2023-01-23,P1006,147.26,14.73,161.99,78,Japan
2023-01-23,P1007,173.67,17.37,191.04,66,UK
2023-01-23,P1008,227.62,22.76,250.38,71,Australia
2023-01-23,P1009,238.89,23.89,262.78,52,Germany
2023-01-23,P1010,416.13,41.61,457.74,69,France
2023-01-23,P1011,14.74,1.47,16.21,83,USA
2023-01-23,P1012,358.88,35.89,394.77,74,UK
2023-01-23,P1013,186.86,18.69,205.55,92,Germany
2023-01-23,P1014,212.76,21.28,234.04,82,Japan
2023-01-23,P1015,25.71,2.57,28.28,88,Canada
2023-01-23,P1016,426.17,42.62,468.79,92,USA
2023-01-23,P1017,67.88,6.79,74.67,54,France
2023-01-23,P1018,245.06,24.51,269.57,95,Australia
2023-01-23,P1019,450.0,45.0,495.0,79,Japan
2023-01-23,P1020,189.46,18.95,208.41,55,France
2023-01-24,P1001,277.43,27.74,305.17,72,Australia
2023-01-24,P1002,25.02,2.5,27.52,80,Germany
2023-01-24,P1003,119.41,11.94,131.35,98,USA
2023-01-24,P1004,435.44,43.54,478.98,51,USA
2023-01-24,P1005,25.85,2.59,28.44,65,Canada
2023-01-24,P1006,249.83,24.98,274.81,73,Japan
2023-01-24,P1007,298.43,29.84,328.27,75,Australia
2023-01-24,P1008,374.61,37.46,412.07,76,France
2023-01-24,P1009,474.78,47.48,522.26,74,Canada
2023-01-24,P1010,425.69,42.57,468.26,82,Canada
2023-01-24,P1011,100.82,10.08,110.9,59,France
2023-01-24,P1012,73.38,7.34,80.72,59,France
2023-01-24,P1013,43.37,4.34,47.71,82,Japan
2023-01-24,P1014,482.81,48.28,531.09,82,USA
2023-01-24,P1015,181.5,18.15,199.65,83,UK
2023-01-24,P1016,140.0,14.0,154.0,58,Australia
2023-01-24,P1017,267.65,26.77,294.42,67,Germany
2023-01-24,P1018,231.84,23.18,255.02,79,Australia
2023-01-24,P1019,21.89,2.19,24.08,68,Canada
2023-01-24,P1020,428.09,42.81,470.9,54,Australia
2023-01-25,P1001,484.91,48.49,533.4,97,Germany
2023-01-25,P1002,247.04,24.7,271.74,82,Germany
2023-01-25,P1003,231.68,23.17,254.85,70,France
2023-01-25,P1004,397.7,39.77,437.47,63,Germany
2023-01-25,P1005,283.45,28.34,311.79,83,UK
2023-01-25,P1006,215.13,21.51,236.64,77,UK
2023-01-25,P1007,279.53,27.95,307.48,95,USA
2023-01-25,P1008,39.78,3.98,43.76,66,Australia
2023-01-25,P1009,329.1,32.91,362.01,87,UK
